customer_id,customer_name,email,country,signup_date
C0001,Customer 1,customer1@example.com,Canada,2023-01-02
C0002,Customer 2,customer2@example.com,UK,2023-01-03
C0003,Customer 3,customer3@example.com,Germany,2023-01-04
C0004,Customer 4,customer4@example.com,France,2023-01-05
C0005,Customer 5,customer5@example.com,USA,2023-01-06
C0006,Customer 6,customer6@example.com,Canada,2023-01-07
C0007,Customer 7,customer7@example.com,UK,2023-01-08
C0008,Customer 8,customer8@example.com,Germany,2023-01-09
C0009,Customer 9,customer9@example.com,France,2023-01-10
C0010,Customer 10,customer10@example.com,USA,2023-01-11
C0011,Customer 11,customer11@example.com,Canada,2023-01-12
C0012,Customer 12,customer12@example.com,UK,2023-01-13
C0013,Customer 13,customer13@example.com,Germany,2023-01-14
C0014,Customer 14,customer14@example.com,France,2023-01-15
C0015,Customer 15,customer15@example.com,USA,2023-01-16
C0016,Customer 16,customer16@example.com,Canada,2023-01-17
C0017,Customer 17,customer17@example.com,UK,2023-01-18
C0018,Customer 18,customer18@example.com,Germany,2023-01-19
C0019,Customer 19,customer19@example.com,France,2023-01-20
C0020,Customer 20,customer20@example.com,USA,2023-01-21
C0021,Customer 21,customer21@example.com,Canada,2023-01-22
C0022,Customer 22,customer22@example.com,UK,2023-01-23
C0023,Customer 23,customer23@example.com,Germany,2023-01-24
C0024,Customer 24,customer24@example.com,France,2023-01-25
C0025,Customer 25,customer25@example.com,USA,2023-01-26
C0026,Customer 26,customer26@example.com,Canada,2023-01-27
C0027,Customer 27,customer27@example.com,UK,2023-01-28
C0028,Customer 28,customer28@example.com,Germany,2023-01-29
C0029,Customer 29,customer29@example.com,France,2023-01-30
C0030,Customer 30,customer30@example.com,USA,2023-01-31
C0031,Customer 31,customer31@example.com,Canada,2023-02-01
C0032,Customer 32,customer32@example.com,UK,2023-02-02
C0033,Customer 33,customer33@example.com,Germany,2023-02-03
C0034,Customer 34,customer34@example.com,France,2023-02-04
C0035,Customer 35,customer35@example.com,USA,2023-02-05
C0036,Customer 36,customer36@example.com,Canada,2023-02-06
C0037,Customer 37,customer37@example.com,UK,2023-02-07
C0038,Customer 38,customer38@example.com,Germany,2023-02-08
C0039,Customer 39,customer39@example.com,France,2023-02-09
C0040,Customer 40,customer40@example.com,USA,2023-02-10
C0041,Customer 41,customer41@example.com,Canada,2023-02-11
C0042,Customer 42,customer42@example.com,UK,2023-02-12
C0043,Customer 43,customer43@example.com,Germany,2023-02-13
C0044,Customer 44,customer44@example.com,France,2023-02-14
C0045,Customer 45,customer45@example.com,USA,2023-02-15
C0046,Customer 46,customer46@example.com,Canada,2023-02-16
C0047,Customer 47,customer47@example.com,UK,2023-02-17
C0048,Customer 48,customer48@example.com,Germany,2023-02-18
C0049,Customer 49,customer49@example.com,France,2023-02-19
C0050,Customer 50,customer50@example.com,USA,2023-02-20
C0051,Customer 51,customer51@example.com,Canada,2023-02-21
C0052,Customer 52,customer52@example.com,UK,2023-02-22
C0053,Customer 53,customer53@example.com,Germany,2023-02-23
C0054,Customer 54,customer54@example.com,France,2023-02-24
C0055,Customer 55,customer55@example.com,USA,2023-02-25
C0056,Customer 56,customer56@example.com,Canada,2023-02-26
C0057,Customer 57,customer57@example.com,UK,2023-02-27
C0058,Customer 58,customer58@example.com,Germany,2023-02-28
C0059,Customer 59,customer59@example.com,France,2023-03-01
C0060,Customer 60,customer60@example.com,USA,2023-03-02
C0061,Customer 61,customer61@example.com,Canada,2023-03-03
C0062,Customer 62,customer62@example.com,UK,2023-03-04
C0063,Customer 63,customer63@example.com,Germany,2023-03-05
C0064,Customer 64,customer64@example.com,France,2023-03-06
C0065,Customer 65,customer65@example.com,USA,2023-03-07
C0066,Customer 66,customer66@example.com,Canada,2023-03-08
C0067,Customer 67,customer67@example.com,UK,2023-03-09
C0068,Customer 68,customer68@example.com,Germany,2023-03-10
C0069,Customer 69,customer69@example.com,France,2023-03-11
C0070,Customer 70,customer70@example.com,USA,2023-03-12
C0071,Customer 71,customer71@example.com,Canada,2023-03-13
C0072,Customer 72,customer72@example.com,UK,2023-03-14
C0073,Customer 73,customer73@example.com,Germany,2023-03-15
C0074,Customer 74,customer74@example.com,France,2023-03-16
C0075,Customer 75,customer75@example.com,USA,2023-03-17
C0076,Customer 76,customer76@example.com,Canada,2023-03-18
C0077,Customer 77,customer77@example.com,UK,2023-03-19
C0078,Customer 78,customer78@example.com,Germany,2023-03-20
C0079,Customer 79,customer79@example.com,France,2023-03-21
C0080,Customer 80,customer80@example.com,USA,2023-03-22
C0081,Customer 81,customer81@example.com,Canada,2023-03-23
C0082,Customer 82,customer82@example.com,UK,2023-03-24
C0083,Customer 83,customer83@example.com,Germany,2023-03-25
C0084,Customer 84,customer84@example.com,France,2023-03-26
